
Summary: 0 | Step: 0 | Reward: 0
Summary: 7 | Step: 253 | Reward: -1.22
Summary: 8 | Step: 256 | Reward: -0.08
Summary: 9 | Step: 349 | Reward: -3.2700000000000005
Summary: 10 | Step: 384 | Reward: -0.2799999999999997
Summary: 11 | Step: 479 | Reward: -3.2300000000000004
Summary: 12 | Step: 512 | Reward: -1.53
Summary: 13 | Step: 512 | Reward: 0
Summary: 14 | Step: 530 | Reward: -1.6900000000000002
Summary: 15 | Step: 570 | Reward: -1.7400000000000002
Summary: 16 | Step: 640 | Reward: -1.820000000000001
Summary: 17 | Step: 673 | Reward: -1.7400000000000002
Summary: 18 | Step: 715 | Reward: -1.5599999999999998
Summary: 19 | Step: 767 | Reward: -2.1300000000000003
Summary: 20 | Step: 768 | Reward: 0.02
Summary: 21 | Step: 863 | Reward: -3.0200000000000014
Summary: 22 | Step: 896 | Reward: -0.7400000000000002
Summary: 23 | Step: 979 | Reward: -2.840000000000001
Summary: 24 | Step: 991 | Reward: -1.11
Summary: 25 | Step: 1007 | Reward: -1.52
Summary: 26 | Step: 1024 | Reward: -0.7100000000000002
Summary: 27 | Step: 1027 | Reward: -1.08
Summary: 28 | Step: 1047 | Reward: -1.65
Summary: 29 | Step: 1060 | Reward: -1.44
Summary: 30 | Step: 1071 | Reward: -1.4100000000000001
Summary: 31 | Step: 1082 | Reward: -1.27
Summary: 32 | Step: 1093 | Reward: -1.27
Summary: 33 | Step: 1104 | Reward: -1.3399999999999999
Summary: 34 | Step: 1152 | Reward: -0.5800000000000002
Summary: 35 | Step: 1187 | Reward: 1.12
Summary: 36 | Step: 1217 | Reward: -1.8700000000000003
Summary: 37 | Step: 1236 | Reward: -1.18
Summary: 38 | Step: 1260 | Reward: -2.1300000000000003
Summary: 39 | Step: 1272 | Reward: -1.53
Summary: 40 | Step: 1280 | Reward: 0.09000000000000001
Summary: 41 | Step: 1284 | Reward: -0.99
Summary: 42 | Step: 1285 | Reward: 1
Summary: 43 | Step: 1318 | Reward: -1.9500000000000002
Summary: 44 | Step: 1330 | Reward: -1.46
Summary: 45 | Step: 1343 | Reward: -1.3699999999999999
Summary: 46 | Step: 1359 | Reward: -1.5899999999999999
Summary: 47 | Step: 1408 | Reward: -0.4899999999999999
Summary: 48 | Step: 1436 | Reward: -2.2600000000000007
Summary: 49 | Step: 1446 | Reward: -1.29
Summary: 50 | Step: 1458 | Reward: -1.53
Summary: 51 | Step: 1469 | Reward: -1.34
Summary: 52 | Step: 1481 | Reward: -1.3900000000000001
Summary: 53 | Step: 1487 | Reward: -1.1600000000000001
Summary: 54 | Step: 1498 | Reward: -1.34
Summary: 55 | Step: 1508 | Reward: -1.43
Summary: 56 | Step: 1522 | Reward: -1.21
Summary: 57 | Step: 1536 | Reward: -0.07000000000000002
Summary: 58 | Step: 1542 | Reward: -0.95
Summary: 59 | Step: 1551 | Reward: -1.38
Summary: 60 | Step: 1579 | Reward: 1.33
Summary: 61 | Step: 1588 | Reward: 1.09
Summary: 62 | Step: 1609 | Reward: -1.49
Summary: 63 | Step: 1625 | Reward: -1.59
Summary: 64 | Step: 1626 | Reward: 1
Summary: 65 | Step: 1655 | Reward: -1.6099999999999999
Summary: 66 | Step: 1664 | Reward: -0.1
Summary: 67 | Step: 1665 | Reward: -0.98
Summary: 68 | Step: 1686 | Reward: -1.9100000000000004
Summary: 69 | Step: 1697 | Reward: -1.2000000000000002
Summary: 70 | Step: 1792 | Reward: -1.11
Summary: 71 | Step: 1816 | Reward: -1.9900000000000002
Summary: 72 | Step: 1829 | Reward: -1.37
Summary: 73 | Step: 1845 | Reward: -1.52
Summary: 74 | Step: 1920 | Reward: -1.09
Summary: 75 | Step: 1979 | Reward: -2.4100000000000006
Summary: 76 | Step: 1984 | Reward: -1.1800000000000002
Summary: 77 | Step: 1992 | Reward: -1.12
Summary: 78 | Step: 2048 | Reward: -0.48999999999999977
Summary: 79 | Step: 2056 | Reward: -1.19
Summary: 80 | Step: 2065 | Reward: 1.09
Summary: 81 | Step: 2102 | Reward: -2.0100000000000002
Summary: 82 | Step: 2176 | Reward: -1.6700000000000008
Summary: 83 | Step: 2213 | Reward: -2.0100000000000002
Summary: 84 | Step: 2223 | Reward: -1.43
Summary: 85 | Step: 2235 | Reward: -1.53
Summary: 86 | Step: 2257 | Reward: -1.9600000000000004
Summary: 87 | Step: 2267 | Reward: -1.36
Summary: 88 | Step: 2283 | Reward: -1.38
Summary: 89 | Step: 2297 | Reward: -1.56
Summary: 90 | Step: 2304 | Reward: -0.14
Summary: 91 | Step: 2308 | Reward: -1.06
Summary: 92 | Step: 2357 | Reward: -3.030000000000001
Summary: 93 | Step: 2371 | Reward: -1.42
Summary: 94 | Step: 2374 | Reward: -1.08
Summary: 95 | Step: 2387 | Reward: -1.23
Summary: 96 | Step: 2398 | Reward: -1.48
Summary: 97 | Step: 2410 | Reward: -1.32
Summary: 98 | Step: 2424 | Reward: -1.63
Summary: 99 | Step: 2432 | Reward: -0.25999999999999995
Summary: 100 | Step: 2451 | Reward: -1.5299999999999998
Summary: 101 | Step: 2463 | Reward: -1.46
Summary: 102 | Step: 2473 | Reward: -1.43
Summary: 103 | Step: 2487 | Reward: -1.49
Summary: 104 | Step: 2496 | Reward: -1.31
Summary: 105 | Step: 2510 | Reward: -1.49
Summary: 106 | Step: 2521 | Reward: -1.41
Summary: 107 | Step: 2535 | Reward: -1.42
Summary: 108 | Step: 2560 | Reward: -0.9000000000000002
Summary: 109 | Step: 2594 | Reward: -2.2800000000000007
Summary: 110 | Step: 2605 | Reward: -1.48
Summary: 111 | Step: 2622 | Reward: -1.5699999999999998
Summary: 112 | Step: 2630 | Reward: -1.12
Summary: 113 | Step: 2642 | Reward: -1.1800000000000002
Summary: 114 | Step: 2654 | Reward: -1.3900000000000001
Summary: 115 | Step: 2684 | Reward: -0.75
Summary: 116 | Step: 2688 | Reward: -0.13
Summary: 117 | Step: 2693 | Reward: -1.1800000000000002
Summary: 118 | Step: 2708 | Reward: -1.1900000000000002
Summary: 119 | Step: 2727 | Reward: 1.22
Summary: 120 | Step: 2737 | Reward: 1.11
Summary: 121 | Step: 2764 | Reward: 1.3800000000000001
Summary: 122 | Step: 2778 | Reward: 1.19
Summary: 123 | Step: 2816 | Reward: -0.8500000000000002
Summary: 124 | Step: 2820 | Reward: -1.06
Summary: 125 | Step: 2840 | Reward: -1.58
Summary: 126 | Step: 2852 | Reward: -1.25
Summary: 127 | Step: 2866 | Reward: -1.4899999999999998
Summary: 128 | Step: 2878 | Reward: -1.53
Summary: 129 | Step: 2895 | Reward: -1.43
Summary: 130 | Step: 2931 | Reward: -2.0300000000000002
Summary: 131 | Step: 2943 | Reward: -1.25
Summary: 132 | Step: 2944 | Reward: 0.02
Summary: 133 | Step: 2955 | Reward: -1.2000000000000002
Summary: 134 | Step: 2968 | Reward: -1.23
Summary: 135 | Step: 3001 | Reward: -2.0200000000000005
Summary: 136 | Step: 3014 | Reward: -1.1600000000000001
Summary: 137 | Step: 3037 | Reward: -1.45
Summary: 138 | Step: 3048 | Reward: -1.34
Summary: 139 | Step: 3061 | Reward: -1.23
Summary: 140 | Step: 3070 | Reward: -1.38
Summary: 141 | Step: 3072 | Reward: -0.030000000000000002
